instance_id,n_usvs,n_tasks,eval_time_per_decision_ms_mean,eval_steps_mean,epoch_time_mean_sec
u2_t20,2,20,11.780713000043761,20.0,0.8806452010000066
u2_t40,2,40,13.640075499988598,40.0,1.5702943899998718
u2_t60,2,60,15.851072000017059,60.0,2.4343471625000164
u2_t80,2,80,17.715970874996856,80.0,3.436931778999933
u2_t100,2,100,18.94444639998983,100.0,4.769698096000102
u4_t20,4,20,12.651842499981285,20.0,0.8855010894997395
u4_t40,4,40,14.909880250015703,40.0,1.6854150369997296
u4_t60,4,60,17.234348166663647,60.0,2.6509503245001906
u4_t80,4,80,18.869237499993687,80.0,4.455347069500058
u4_t100,4,100,20.51813690002018,100.0,6.003745830499975
u6_t20,6,20,12.944730500021251,20.0,0.9231000884999958
u6_t40,6,40,16.232712999990326,40.0,1.7864002759998403
u6_t60,6,60,18.453367666685757,60.0,3.384722472000358
u6_t80,6,80,20.097405374999653,80.0,4.754125917000128
u6_t100,6,100,22.20993469998939,100.0,7.238479077999873
u8_t20,8,20,14.228228500032856,20.0,0.9556581165001262
u8_t40,8,40,17.350862249968486,40.0,2.176287670500351
u8_t60,8,60,19.26210899998599,60.0,3.566419101499814
u8_t80,8,80,21.73541637499511,80.0,5.6985047614998985
u8_t100,8,100,23.578944199987745,100.0,8.431825792499403
u10_t20,10,20,15.117686499943375,20.0,0.9983701130000191
u10_t40,10,40,18.714235499992355,40.0,2.288995574500186
u10_t60,10,60,21.097547666662045,60.0,4.205659571000106
u10_t80,10,80,23.85710849998759,80.0,6.771250212499617
u10_t100,10,100,26.043976500004646,100.0,9.078286274499842
