run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,epoch,timestamp,elapsed_sec,train_reward_avg,train_reward_std,train_makespan_avg,train_makespan_min,train_makespan_std,success_rate,n_trajectories,n_success,n_failed,eval_makespan,eval_success,best_eval_makespan,best_eval_epoch,gap_to_best_rule_percent,best_rule_name,best_rule_makespan,random_makespan,actor_loss,critic_loss,entropy,lr_actor_encoder,lr_actor,lr_critic_encoder,lr_critic,lr_shared_encoder,hidden_dim,hgnn_layers,n_heads,ppo_epochs,vectorized_update,update_batch_size,update_shuffle,gamma,gae_lambda,clip_epsilon,entropy_coef,reward_normalization,best_model_path,rollout_time_sec,update_time_sec,epoch_time_sec,batch_prepare_time_sec,actor_update_time_sec,critic_update_time_sec
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,0,2026-05-21 21:19:54,0.44800129998475313,,,,,,,,,,1649.0041549464518,1,1649.0041549464518,0,33.4710232900268,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,,,,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,,,,,,
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,1,2026-05-21 21:19:58,4.858221900067292,-1.1081413496740824,0.06861676623243568,1792.6472494763284,1654.8168658920044,111.00177544201685,1.0,8,8,0,1828.298703724182,1,1649.0041549464518,0,47.98319223993728,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.04121974227018654,0.04207301652058959,1.7270574122667313,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,3.5835836000042036,0.5384439999470487,4.372414999990724,0.0017389999702572823,0.26864420005586,0.26397859991993755
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,2,2026-05-21 21:19:59,5.570264799986035,-1.0751965729678976,0.03495563808463734,1739.3522764439406,1657.2149613741533,56.54795616510928,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.015171806095167994,0.015229701530188322,1.811622828245163,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.32485400000587106,0.31126350001432,0.6362261000322178,0.0015520000597462058,0.16436039994005114,0.13886499998625368
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,3,2026-05-21 21:20:00,6.238019600044936,-1.1236232404016464,0.07348657541800545,1817.6924017374763,1709.909281399916,118.87969647127355,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.00355899624992162,0.008512706845067441,1.7949497997760773,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.31221449992153794,0.29369139997288585,0.6060374999651685,0.0015608000103384256,0.15380770002957433,0.13409799989312887
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,4,2026-05-21 21:20:00,6.893688000040129,-1.123516703498042,0.07829979044565873,1817.5200563166768,1696.3966859680024,126.6660647743772,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.005484905559569597,0.006918649422004819,1.7583942413330078,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.30306689999997616,0.27684220008086413,0.5799985999474302,0.0014275000430643559,0.14442829973995686,0.12699530005920678
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,5,2026-05-21 21:20:01,7.5504812999861315,-1.0553854130054003,0.05809678636350161,1707.3036380404092,1558.2059509448586,93.98353766744279,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.02368641272187233,0.005481265572598204,1.7498686015605927,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3188423999818042,0.2744306999957189,0.5933764999499545,0.0014522999990731478,0.1404056999599561,0.12916340003721416
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,6,2026-05-21 21:20:02,8.340088800061494,-1.0781248237444758,0.04238188113248587,1744.0893261912079,1634.5010814316881,68.56143637463659,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.0025194603949785233,0.0042436556541360915,1.728558510541916,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3977129999548197,0.3272027000784874,0.7250552999321371,0.0017941000405699015,0.165200499817729,0.1429901000810787
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,7,2026-05-21 21:20:02,8.983751800027676,-1.1447483552793591,0.12418313694716918,1851.8666332933526,1631.0057412342592,200.8918437572601,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.01676916191354394,0.006849666184280068,1.7793497443199158,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3049547999398783,0.284324900014326,0.5893717999570072,0.0015350999310612679,0.15058850008063018,0.12849309982266277
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,8,2026-05-21 21:20:03,9.630785600049421,-1.0994184898038482,0.159012571500245,1778.5362240565646,1219.020995667319,257.2356396735037,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.025285458425059915,0.008517033769749105,1.7804649025201797,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.31404440000187606,0.27486969996243715,0.5890178999397904,0.0017142998985946178,0.1410917000612244,0.12864610005635768
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,9,2026-05-21 21:20:04,10.254292099969462,-1.0443044552388168,0.03288821570449211,1689.3779027831952,1597.7307273903166,53.20347394326719,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.004002980189397931,0.003598358787712641,1.771239459514618,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.2804117000196129,0.2844071000581607,0.564909000066109,0.0013191000325605273,0.1462690996704623,0.1336221998790279
